,0
1016,448620
1017,457405
1018,466190
1019,483760
1020,492545
1021,501330
1022,510115
1023,518900
1024,527685
1025,536470
1026,545255
1027,554040
1028,562825
1029,580395
1030,589180
1031,597965
1032,606750
1033,615535
1034,624320
1035,641890
1036,609
1037,97244
1038,193879
1039,290514
1040,387149
1041,474999
1042,571634
1043,633129
1044,668266
1045,9394
1046,18179
1047,26964
1048,35749
1049,44534
1050,53319
1051,70889
1052,79674
1053,88459
1054,106029
1055,114814
1056,123599
1057,132384
1058,141169
1059,149954
1060,158739
1061,167524
1062,176309
1063,185094
1064,202664
1065,211449
1066,220234
1067,229019
1068,237804
1069,246589
1070,255374
1071,264159
1072,272944
1073,281729
1074,299299
1075,308084
1076,316869
1077,325654
1078,334439
1079,343224
1080,352009
1081,360794
1082,369579
1083,378364
1084,395934
1085,404719
1086,413504
1087,422289
1088,431074
1089,439859
1090,448644
1091,457429
1092,466214
1093,483784
1094,492569
1095,501354
1096,510139
1097,518924
1098,527709
1099,536494
1100,545279
1101,554064
1102,562849
1103,580419
1104,589204
1105,597989
1106,606774
1107,615559
1108,624344
1109,641914
1110,633
1111,97268
1112,193903
1113,290538
1114,387173
1115,475023
1116,571658
1117,633153
1118,668290
1119,9418
1120,18203
1121,26988
1122,35773
1123,44558
1124,53343
1125,70913
1126,79698
1127,88483
1128,106053
1129,114838
1130,123623
1131,132408
1132,141193
1133,149978
1134,158763
1135,167548
1136,176333
1137,185118
1138,202688
1139,211473
1140,220258
1141,229043
1142,237828
1143,246613
1144,255398
1145,264183
1146,272968
1147,281753
1148,299323
1149,308108
1150,316893
1151,325678
1152,334463
1153,343248
1154,352033
1155,360818
1156,369603
1157,378388
1158,395958
1159,404743
1160,413528
1161,422313
1162,431098
1163,439883
1164,448668
1165,457453
1166,466238
1167,483808
1168,492593
1169,501378
1170,510163
1171,518948
1172,527733
1173,536518
1174,545303
1175,554088
1176,562873
1177,580443
1178,589228
1179,598013
1180,606798
1181,615583
1182,624368
1183,641938
1184,657
1185,97292
1186,193927
1187,290562
1188,387197
1189,475047
1190,571682
1191,633177
1192,668314
1193,9442
1194,18227
1195,27012
1196,35797
1197,44582
1198,53367
1199,70937
1200,79722
1201,88507
1202,106077
1203,114862
1204,123647
1205,132432
1206,141217
1207,150002
1208,158787
1209,167572
1210,176357
1211,185142
1212,202712
1213,211497
1214,220282
1215,229067
1216,237852
1217,246637
1218,255422
1219,264207
1220,272992
1221,281777
1222,299347
1223,308132
1224,316917
1225,325702
1226,334487
1227,343272
1228,352057
1229,360842
1230,369627
1231,378412
1232,395982
1233,404767
1234,413552
1235,422337
1236,431122
1237,439907
1238,448692
1239,457477
1240,466262
1241,483832
1242,492617
1243,501402
1244,510187
1245,518972
1246,527757
1247,536542
1248,545327
1249,554112
1250,562897
1251,580467
1252,589252
1253,598037
1254,606822
1255,615607
1256,624392
1257,641962
1258,681
1259,97316
1260,193951
1261,290586
1262,387221
1263,475071
1264,571706
1265,633201
1266,668338
1267,9466
1268,18251
1269,27036
1270,35821
1271,44606
1272,53391
1273,70961
1274,79746
1275,88531
1276,106101
1277,114886
1278,123671
1279,132456
1280,141241
1281,150026
1282,158811
1283,167596
1284,176381
1285,185166
1286,202736
1287,211521
1288,220306
1289,229091
1290,237876
1291,246661
1292,255446
1293,264231
1294,273016
1295,281801
1296,299371
1297,308156
1298,316941
1299,325726
1300,334511
1301,343296
1302,352081
1303,360866
1304,369651
1305,378436
1306,396006
1307,404791
1308,413576
1309,422361
1310,431146
1311,439931
1312,448716
1313,457501
1314,466286
1315,483856
1316,492641
1317,501426
1318,510211
1319,518996
1320,527781
1321,536566
1322,545351
1323,554136
1324,562921
1325,580491
1326,589276
1327,598061
1328,606846
1329,615631
1330,624416
1331,641986
1332,705
1333,97340
1334,193975
1335,290610
1336,387245
1337,475095
1338,571730
1339,633225
1340,668362
1341,9490
1342,18275
1343,27060
1344,35845
1345,44630
1346,53415
1347,70985
1348,79770
1349,88555
1350,106125
1351,114910
1352,123695
1353,132480
1354,141265
1355,150050
1356,158835
1357,167620
1358,176405
1359,185190
1360,202760
1361,211545
1362,220330
1363,229115
1364,237900
1365,246685
1366,255470
1367,264255
1368,273040
1369,281825
1370,299395
1371,308180
1372,316965
1373,325750
1374,334535
1375,343320
1376,352105
1377,360890
1378,369675
1379,378460
1380,396030
1381,404815
1382,413600
1383,422385
1384,431170
1385,439955
1386,448740
1387,457525
1388,466310
1389,483880
1390,492665
1391,501450
1392,510235
1393,519020
1394,527805
1395,536590
1396,545375
1397,554160
1398,562945
1399,580515
1400,589300
1401,598085
1402,606870
1403,615655
1404,624440
1405,642010
1406,729
1407,97364
1408,193999
1409,290634
1410,387269
1411,475119
1412,571754
1413,633249
1414,668386
1415,9514
1416,18299
1417,27084
1418,35869
1419,44654
1420,53439
1421,71009
1422,79794
1423,88579
1424,106149
1425,114934
1426,123719
1427,132504
1428,141289
1429,150074
1430,158859
1431,167644
1432,176429
1433,185214
1434,202784
1435,211569
1436,220354
1437,229139
1438,237924
1439,246709
1440,255494
1441,264279
1442,273064
1443,281849
1444,299419
1445,308204
1446,316989
1447,325774
1448,334559
1449,343344
1450,352129
1451,360914
1452,369699
1453,378484
1454,396054
1455,404839
1456,413624
1457,422409
1458,431194
1459,439979
1460,448764
1461,457549
1462,466334
1463,483904
1464,492689
1465,501474
1466,510259
1467,519044
1468,527829
1469,536614
1470,545399
1471,554184
1472,562969
1473,580539
1474,589324
1475,598109
1476,606894
1477,615679
1478,624464
1479,642034
1480,1017
1481,97652
1482,194287
1483,290922
1484,387557
1485,475407
1486,572042
1487,633537
1488,668674
1489,9802
1490,18587
1491,27372
1492,36157
1493,44942
1494,53727
1495,71297
1496,80082
1497,88867
1498,106437
1499,115222
1500,124007
1501,132792
1502,141577
1503,150362
1504,159147
1505,167932
1506,176717
1507,185502
1508,203072
1509,211857
1510,220642
1511,229427
1512,238212
1513,246997
1514,255782
1515,264567
1516,273352
1517,282137
1518,299707
1519,308492
1520,317277
1521,326062
1522,334847
1523,343632
1524,352417
1525,361202
1526,369987
1527,378772
1528,396342
1529,405127
1530,413912
1531,422697
1532,431482
1533,440267
1534,449052
1535,457837
1536,466622
1537,484192
1538,492977
1539,501762
1540,510547
1541,519332
1542,528117
1543,536902
1544,545687
1545,554472
1546,563257
1547,580827
1548,589612
1549,598397
1550,607182
1551,615967
1552,624752
1553,642322
1554,1041
1555,97676
1556,194311
1557,290946
1558,387581
1559,475431
1560,572066
1561,633561
1562,668698
1563,9826
1564,18611
1565,27396
1566,36181
1567,44966
1568,53751
1569,71321
1570,80106
1571,88891
1572,106461
1573,115246
1574,124031
1575,132816
1576,141601
1577,150386
1578,159171
1579,167956
1580,176741
1581,185526
1582,203096
1583,211881
1584,220666
1585,229451
1586,238236
1587,247021
1588,255806
1589,264591
1590,273376
1591,282161
1592,299731
1593,308516
1594,317301
1595,326086
1596,334871
1597,343656
1598,352441
1599,361226
1600,370011
1601,378796
1602,396366
1603,405151
1604,413936
1605,422721
1606,431506
1607,440291
1608,449076
1609,457861
1610,466646
1611,484216
1612,493001
1613,501786
1614,510571
1615,519356
1616,528141
1617,536926
1618,545711
1619,554496
1620,563281
1621,580851
1622,589636
1623,598421
1624,607206
1625,615991
1626,624776
1627,642346
1628,1065
1629,97700
1630,194335
1631,290970
1632,387605
1633,475455
1634,572090
1635,633585
1636,668722
1637,9850
1638,18635
1639,27420
1640,36205
1641,44990
1642,53775
1643,71345
1644,80130
1645,88915
1646,106485
1647,115270
1648,124055
1649,132840
1650,141625
1651,150410
1652,159195
1653,167980
1654,176765
1655,185550
1656,203120
1657,211905
1658,220690
1659,229475
1660,238260
1661,247045
1662,255830
1663,264615
1664,273400
1665,282185
1666,299755
1667,308540
1668,317325
1669,326110
1670,334895
1671,343680
1672,352465
1673,361250
1674,370035
1675,378820
1676,396390
1677,405175
1678,413960
1679,422745
1680,431530
1681,440315
1682,449100
1683,457885
1684,466670
1685,484240
1686,493025
1687,501810
1688,510595
1689,519380
1690,528165
1691,536950
1692,545735
1693,554520
1694,563305
1695,580875
1696,589660
1697,598445
1698,607230
1699,616015
1700,624800
1701,642370
1702,1089
1703,97724
1704,194359
1705,290994
1706,387629
1707,475479
1708,572114
1709,633609
1710,668746
1711,9874
1712,18659
1713,27444
1714,36229
1715,45014
1716,53799
1717,71369
1718,80154
1719,88939
1720,106509
1721,115294
1722,124079
1723,132864
1724,141649
1725,150434
1726,159219
1727,168004
1728,176789
1729,185574
1730,203144
1731,211929
1732,220714
1733,229499
1734,238284
1735,247069
1736,255854
1737,264639
1738,273424
1739,282209
1740,299779
1741,308564
1742,317349
1743,326134
1744,334919
1745,343704
1746,352489
1747,361274
1748,370059
1749,378844
1750,396414
1751,405199
1752,413984
1753,422769
1754,431554
1755,440339
1756,449124
1757,457909
1758,466694
1759,484264
1760,493049
1761,501834
1762,510619
1763,519404
1764,528189
1765,536974
1766,545759
1767,554544
1768,563329
1769,580899
1770,589684
1771,598469
1772,607254
1773,616039
1774,624824
1775,642394
1776,1113
1777,97748
1778,194383
1779,291018
1780,387653
1781,475503
1782,572138
1783,633633
1784,668770
1785,9898
1786,18683
1787,27468
1788,36253
1789,45038
1790,53823
1791,71393
1792,80178
1793,88963
1794,106533
1795,115318
1796,124103
1797,132888
1798,141673
1799,150458
1800,159243
1801,168028
1802,176813
1803,185598
1804,203168
1805,211953
1806,220738
1807,229523
1808,238308
1809,247093
1810,255878
1811,264663
1812,273448
1813,282233
1814,299803
1815,308588
1816,317373
1817,326158
1818,334943
1819,343728
1820,352513
1821,361298
1822,370083
1823,378868
1824,396438
1825,405223
1826,414008
1827,422793
1828,431578
1829,440363
1830,449148
1831,457933
1832,466718
1833,484288
1834,493073
1835,501858
1836,510643
1837,519428
1838,528213
1839,536998
1840,545783
1841,554568
1842,563353
1843,580923
1844,589708
1845,598493
1846,607278
1847,616063
1848,624848
1849,642418
1850,1137
1851,97772
1852,194407
1853,291042
1854,387677
1855,475527
1856,572162
1857,633657
1858,668794
1859,9922
1860,18707
1861,27492
1862,36277
1863,45062
1864,53847
1865,71417
1866,80202
1867,88987
1868,106557
1869,115342
1870,124127
1871,132912
1872,141697
1873,150482
1874,159267
1875,168052
1876,176837
1877,185622
1878,203192
1879,211977
1880,220762
1881,229547
1882,238332
1883,247117
1884,255902
1885,264687
1886,273472
1887,282257
1888,299827
1889,308612
1890,317397
1891,326182
1892,334967
1893,343752
1894,352537
1895,361322
1896,370107
1897,378892
1898,396462
1899,405247
1900,414032
1901,422817
1902,431602
1903,440387
1904,449172
1905,457957
1906,466742
1907,484312
1908,493097
1909,501882
1910,510667
1911,519452
1912,528237
1913,537022
1914,545807
1915,554592
1916,563377
1917,580947
1918,589732
1919,598517
1920,607302
1921,616087
1922,624872
1923,642442
1924,1161
1925,97796
1926,194431
1927,291066
1928,387701
1929,475551
1930,572186
1931,633681
1932,668818
1933,9946
1934,18731
1935,27516
1936,36301
1937,45086
1938,53871
1939,71441
1940,80226
1941,89011
1942,106581
1943,115366
1944,124151
1945,132936
1946,141721
1947,150506
1948,159291
1949,168076
1950,176861
1951,185646
1952,203216
1953,212001
1954,220786
1955,229571
1956,238356
1957,247141
1958,255926
1959,264711
1960,273496
1961,282281
1962,299851
1963,308636
1964,317421
1965,326206
1966,334991
1967,343776
1968,352561
1969,361346
1970,370131
1971,378916
1972,396486
1973,405271
1974,414056
1975,422841
1976,431626
1977,440411
1978,449196
1979,457981
1980,466766
1981,484336
1982,493121
1983,501906
1984,510691
1985,519476
1986,528261
1987,537046
1988,545831
1989,554616
1990,563401
1991,580971
1992,589756
1993,598541
1994,607326
1995,616111
1996,624896
1997,642466
1998,1185
1999,97820
2000,194455
2001,291090
2002,387725
2003,475575
2004,572210
2005,633705
2006,668842
2007,9970
2008,18755
2009,27540
2010,36325
2011,45110
2012,53895
2013,71465
2014,80250
2015,89035
2016,106605
2017,115390
2018,124175
2019,132960
2020,141745
2021,150530
2022,159315
2023,168100
2024,176885
2025,185670
2026,203240
2027,212025
2028,220810
2029,229595
2030,238380
2031,247165
2032,255950
2033,264735
2034,273520
2035,282305
2036,299875
2037,308660
2038,317445
2039,326230
2040,335015
2041,343800
2042,352585
2043,361370
2044,370155
2045,378940
2046,396510
2047,405295
2048,414080
2049,422865
2050,431650
2051,440435
2052,449220
2053,458005
2054,466790
2055,484360
2056,493145
2057,501930
2058,510715
2059,519500
2060,528285
2061,537070
2062,545855
2063,554640
2064,563425
2065,580995
2066,589780
2067,598565
2068,607350
2069,616135
2070,624920
2071,642490
2072,1209
2073,97844
2074,194479
2075,291114
2076,387749
2077,475599
2078,572234
2079,633729
2080,668866
2081,9994
2082,18779
2083,27564
2084,36349
2085,45134
2086,53919
2087,71489
2088,80274
2089,89059
2090,106629
2091,115414
2092,124199
2093,132984
2094,141769
2095,150554
2096,159339
2097,168124
2098,176909
2099,185694
2100,203264
2101,212049
2102,220834
2103,229619
2104,238404
2105,247189
2106,255974
2107,264759
2108,273544
2109,282329
2110,299899
2111,308684
2112,317469
2113,326254
2114,335039
2115,343824
2116,352609
2117,361394
2118,370179
2119,378964
2120,396534
2121,405319
2122,414104
2123,422889
2124,431674
2125,440459
2126,449244
2127,458029
2128,466814
2129,484384
2130,493169
2131,501954
2132,510739
2133,519524
2134,528309
2135,537094
2136,545879
2137,554664
2138,563449
2139,581019
2140,589804
2141,598589
2142,607374
2143,616159
2144,624944
2145,642514
2146,1233
2147,97868
2148,194503
2149,291138
2150,387773
2151,475623
2152,572258
2153,633753
2154,668890
2155,10018
2156,18803
2157,27588
2158,36373
2159,45158
2160,53943
2161,71513
2162,80298
2163,89083
2164,106653
2165,115438
2166,124223
2167,133008
2168,141793
2169,150578
2170,159363
2171,168148
2172,176933
2173,185718
2174,203288
2175,212073
2176,220858
2177,229643
2178,238428
2179,247213
2180,255998
2181,264783
2182,273568
2183,282353
2184,299923
2185,308708
2186,317493
2187,326278
2188,335063
2189,343848
2190,352633
2191,361418
2192,370203
2193,378988
2194,396558
2195,405343
2196,414128
2197,422913
2198,431698
2199,440483
2200,449268
2201,458053
2202,466838
2203,484408
2204,493193
2205,501978
2206,510763
2207,519548
2208,528333
2209,537118
2210,545903
2211,554688
2212,563473
2213,581043
2214,589828
2215,598613
2216,607398
2217,616183
2218,624968
2219,642538
2220,1257
2221,97892
2222,194527
2223,291162
2224,387797
2225,475647
2226,572282
2227,633777
2228,668914
2229,10042
2230,18827
2231,27612
2232,36397
2233,45182
2234,53967
2235,71537
2236,80322
2237,89107
2238,106677
2239,115462
2240,124247
2241,133032
2242,141817
2243,150602
2244,159387
2245,168172
2246,176957
2247,185742
2248,203312
2249,212097
2250,220882
2251,229667
2252,238452
2253,247237
2254,256022
2255,264807
2256,273592
2257,282377
2258,299947
2259,308732
2260,317517
2261,326302
2262,335087
2263,343872
2264,352657
2265,361442
2266,370227
2267,379012
2268,396582
2269,405367
2270,414152
2271,422937
2272,431722
2273,440507
2274,449292
2275,458077
2276,466862
2277,484432
2278,493217
2279,502002
2280,510787
2281,519572
2282,528357
2283,537142
2284,545927
2285,554712
2286,563497
2287,581067
2288,589852
2289,598637
2290,607422
2291,616207
2292,624992
2293,642562
2294,1281
2295,97916
2296,194551
2297,291186
2298,387821
2299,475671
2300,572306
2301,633801
2302,668938
2303,10066
2304,18851
2305,27636
2306,36421
2307,45206
2308,53991
2309,71561
2310,80346
2311,89131
2312,106701
2313,115486
2314,124271
2315,133056
2316,141841
2317,150626
2318,159411
2319,168196
2320,176981
2321,185766
2322,203336
2323,212121
2324,220906
2325,229691
2326,238476
2327,247261
2328,256046
2329,264831
2330,273616
2331,282401
2332,299971
2333,308756
2334,317541
2335,326326
2336,335111
2337,343896
2338,352681
2339,361466
2340,370251
2341,379036
2342,396606
2343,405391
2344,414176
2345,422961
2346,431746
2347,440531
2348,449316
2349,458101
2350,466886
2351,484456
2352,493241
2353,502026
2354,510811
2355,519596
2356,528381
2357,537166
2358,545951
2359,554736
2360,563521
2361,581091
2362,589876
2363,598661
2364,607446
2365,616231
2366,625016
2367,642586
2368,1305
2369,97940
2370,194575
2371,291210
2372,387845
2373,475695
2374,572330
2375,633825
2376,668962
2377,10090
2378,18875
2379,27660
2380,36445
2381,45230
